question,answer,language
ما هي سياسة التأخر عن الحضور؟,يجب على الموظفين إبلاغ مديرهم إذا تأخروا؛ التأخر المتكرر قد يؤثر على التقييم.,ar
How do I apply for training programs?,Apply through the training portal with manager approval.,en
كيف يمكنني التقديم لبرامج التدريب؟,قدّم طلبك من خلال بوابة التدريب بموافقة المدير.,ar
What is the exit interview process?,An HR representative will conduct an exit interview on your last working day.,en
ما هو إجراء مقابلة الخروج؟,سيجري ممثل الموارد البشرية مقابلة الخروج في آخر يوم عمل لك.,ar
How do I update my bank details?,Submit a request through the HR portal or contact payroll.,en
كيف يمكنني تحديث بياناتي المصرفية؟,قدّم طلبًا من خلال بوابة الموارد البشرية أو اتصل بالرواتب.,ar
How is overtime calculated?,Overtime is paid at 1.5x the normal hourly rate.,en
كيف يتم احتساب العمل الإضافي؟,يتم دفع العمل الإضافي بمعدل 1.5 ضعف الأجر العادي لكل ساعة.,ar
What is the company holiday policy?,Employees get public holidays as per local law.,en
ما هي سياسة عطلات الشركة؟,يحصل الموظفون على العطلات الرسمية وفقًا للقانون المحلي.,ar
How do I submit expense claims?,Submit receipts and a reimbursement form through the HR portal.,en
كيف يمكنني تقديم مطالبات المصاريف؟,قدّم الإيصالات ونموذج المطالبة من خلال بوابة الموارد البشرية.,ar
What is the company’s policy on harassment?,The company has a zero-tolerance policy on harassment.,en
ما هي سياسة الشركة بشأن التحرش؟,تتبنى الشركة سياسة عدم التسامح مطلقًا مع التحرش.,ar
What is the policy for employee recognition?,Employees are recognized quarterly based on performance and contributions.,en
ما هي سياسة الاعتراف بالموظفين؟,يتم الاعتراف بالموظفين ربع سنويًا بناءً على الأداء والمساهمات.,ar
How do I request a company laptop?,Submit a request through IT support for necessary equipment.,en
كيف يمكنني طلب جهاز كمبيوتر محمول من الشركة؟,قدّم طلبًا من خلال دعم تكنولوجيا المعلومات للحصول على المعدات اللازمة.,ar
What is the process for leave cancellation?,Contact HR to cancel approved leave.,en
ما هي عملية إلغاء الإجازة؟,تواصل مع قسم الموارد البشرية لإلغاء الإجازة المعتمدة.,ar
How do I apply for work-from-home days?,Request approval through your manager in the HR portal.,en
كيف يمكنني التقديم لأيام العمل من المنزل؟,قدّم طلب الموافقة من مديرك عبر بوابة الموارد البشرية.,ar
How do I report workplace issues?,Report any issues to HR via email or the internal portal.,en
كيف يمكنني الإبلاغ عن مشاكل مكان العمل؟,قم بالإبلاغ عن أي مشكلات إلى الموارد البشرية عبر البريد الإلكتروني أو البوابة الداخلية.,ar
How do I request additional training?,Submit a request through the training portal.,en
كيف يمكنني طلب تدريب إضافي؟,قدّم طلبك من خلال بوابة التدريب.,ar
What is the company’s policy on remote meeting etiquette?,Employees should follow meeting guidelines for professionalism.,en
ما هي سياسة الشركة بشأن آداب الاجتماعات عن بعد؟,يجب على الموظفين اتباع إرشادات الاجتماعات من أجل الاحترافية.,ar
How do I apply for internal promotions?,Submit your application through the HR portal with manager recommendation.,en
كيف يمكنني التقديم للترقيات الداخلية؟,قدّم طلبك للترقية من خلال بوابة الموارد البشرية بموافقة المدير.,ar
